"name", "segment", "country", "website", "description"
"Pasqal", "Hardware", "France", "http://pasqal.io/", "Located in Palaiseau, France (near Paris) and founded in 2019, Pasqal is building a programmable quantum simulator using atomic arrays of neutral atoms. The technology is based upon work done by the Quantum Optics – Atoms group within the Laboratoire Charles Fabry at the Institut d’Optique."
"Phase Space Computing", "Other", "Sweden", "https://phasespacecomputing.com/", "Located in Linköping, Sweden, Phase Space Computing is a spinoff company from Linköping University which produces educational tools for quantum information science that can be used at the high school, undergraduate or graduate levels. They provide toolboxes which contain electronic circuit boards that approximate the behavior of quantum gates. These gates are modular and can be connected into quantum circuits. The toolboxes can demonstrate functions such as quantum key distribution, teleportation, superdense coding, the Deutsch-Jozsa algorithm and Shor’s algorithm."
"PhaseCraft", "Software", "UK", "https://phasecraft.io/", "PhaseCraft is a quantum software company founded by professors from the University College London (UCL) and the University of Bristol. They will be working on a program with UCL, the University of Bristol, and Google on a research program involving quantum modelling and simulation. They are based in London and were founded in February 2018."
"Photonic Inc.", "Hardware", "Canada", "https://photonic.com/", "Photonic is a spinoff of the Silicon Development Lab at Simon Fraser University developing quantum hardware based upon photonic and also spin qubit technologies.  They are located in Vancouver, Canada and were formed in October 2019."
"Post-Quantum (PQ Solutions)", "Communications", "UK", "https://www.post-quantum.com/", "Post-Quantum (PQ Solutions) offers a variety of information security products and services including quantum secure encryption algorithms. They are based in London and were founded in 2009."
"PQShield", "Communications", "UK", "https://pqshield.com/", "Founded in 2018 and based in Oxford U.K. as a spinout of the Mathematical Institute at the University of Oxford, PQShield is developing real-world, high performance implementations of post-quantum cryptography algorithms. They are an active participant in NIST’s Post Quantum Cryptography standardization process and they are working with several candidate algorithms that are being evaluated as part of Round 2 selection process. "
"ProteinQure", "Software", "Canada", "https://www.proteinqure.com/", "ProteinQure is a biotech firm that uses computational R&D tools to perform drug design in silico. They leverage quantum computing, molecular simulations and reinforcement learning to engineer novel therapeutics. They were established in October 2017 and are based in Toronto, Canada. ProteinQure is also an alumni of the Creative Destruction Lab in Toronto."
"PsiQuantum", "Hardware", "US", "https://psiquantum.com/", "PsiQuantum was formed in June 2016 and based in Palo Alto, California. They are using a photonic approach to manufacture a universal quantum computer in a CMOS silicon fab. They are still in stealth mode and more information on them will be published when it is available."
"Q&I", "Consulting", "UK", "http://qandi.co.uk/", "Q&I, based in the UK, provides consulting services and solutions across the full breadth of quantum technology sectors including how to resolve critical quantum information and technology challenges, as well as exploit their opportunities. Their activities range from broad scoping reports to detailed application-specific design studies, and services include quantum readiness assessments and support with due diligence in quantum technologies."
"Q-CTRL", "Software", "Australia", "https://q-ctrl.com/", "Q-CTRL is an Australian startup led by professor Michael Biercuk from the University of Sydney. They are developing a firmware framework for quantum computers to address the issue of error control. Q-CTRL has recently launched their first software product called Black Opal, a hardware agnostic control software program that works to reduce decoherence and errors at the physical layer. Users who have already signed agreements to use this software include IBM, Bleximo, and others."
"Q-Lion", "Software", "Spain", "https://www.q-lion.com/", "Q-Lion is a quantum computing software company focused on creating realistic fault- tolerant quantum error-correcting codes (FTQECC) to combat decoherence in trapped ions quantum computers. They are working to distribute fault-tolerance QECC for a low number of ions with the aim to show some quantum advantage in the existing quantum processors. Q-Lion is based in Madrid, Spain and was founded in January 2019."
"Qasky", "Communications", "China", "http://www.qasky.com/en/default.asp", "Qasky, or more formally called Anhui Qasky Science and Technology Limited Liability Company, was formed in 2016 in Wuhu City, Anhui Province, China to commercialize quantum cryptography research at the Chinese Academy of Sciences. They are offering or plan to offer products and services including the quantum cryptography communication terminal equipment, network switching/routing equipment, core optoelectronic devices and modules, opening experiment system, scientific instruments and network security control and application software, etc., and integrated solutions for quantum information security system."
"QbitLogic", "Software", "US", "http://www.qbitlogic.com/", "QbitLogic is a quantum computing software company with a general focus on AI algorithms for quantum computers. They are located in Atlanta, Georgia."
"Qblox", "Hardware", "Netherlands", "https://qblox.com/", "Qblox is an early stage startup that is developing technology to enable scalable control of quantum computers. The company was founded in 2019 and is based in Delft, The Netherlands."
"QC Ware", "Software", "US", "http://qcware.com/", "Founded in 2014 and based in Palo Alto, California, QC Ware Corp. develops hardware agnostic enterprise software solutions for quantum computers. QC Ware delivers their capabilities through a cloud-based platform that runs on diverse QC architectures. Their software stack includes plug-and-play function libraries that support optimization, machine learning, and quantum simulations. In July 2017, QC Ware received Series A financing for $6.5 million."
"QEYnet", "Communications", "Canada", "https://qeynet.com/", "Located in the Toronto, Canada area and incorporated in 2017, QEYnet is working to build the world’s first global quantum key distribution (QKD) network using satellite technology to overcome the distance limitations of fiber optic cables. The company was founded by a group of aerospace engineers who have built their careers designing small, low-cost, but highly-capable spacecraft."
"Qilimanjaro Quantum Tech", "Hardware", "Spain", "http://qilimanjaro.tech//", "Qilimanjaro Quantum Tech, S.L. was founded in 2019 and will be based in Barcelona, Spain. It is a spinoff of the Barcelona Supercomputing Center (BSC), the Institute of High Energy Physics (IFAE) and the University of Barcelona (UB). Their vision is to build a cloud platform available to everyone who would like to explore novel quantum computing technologies at low cost. They plan on constructing a coherent quantum annealer based upon persistent current flux qubits and offering access over the cloud. They will also have a services group that will assist companies to adapt their problems to quantum algorithms that run on quantum machines, focusing on hybrid optimization and ML algorithms. The company has already closed consulting contracts along both lines of business. In addition it is a member of the AVaQus annealing based variational quantum processors' project funded by the European Commission in 2020. "
"Qindom", "Software", "Canada", "http://qindom.com/", "Qindom Inc., based in Toronto, Canada, was founded in January 2018 as a Quantum Intelligence (QI) research and solution service provider. They are dedicated to reconstructing AI with quantum computing technologies in research and applications. Qindom’s open platform and intellectual properties are designed for applying quantum computing to revolutionize fundamental algorithms and models in AI and realizing quantum intelligence in real-world industry practices. Qindom has secured seed funding of $2 million from undisclosed investors."
"Qnami", "Hardware", "Switzerland", "https://qnami.ch/", "Founded in 2016 and located in Basel, Switzerland, Qnami designs and produces quantum solutions for high precision sensing and imaging applications. They offer B2C microscopy solutions for device inspection and failure analysis at the nanoscale. In addition, they support companies with a quantum foundry for the design and production of ultra sensitive sensors across several areas including semiconductor, medical imaging and early-stage medical diagnostics."
"Qrithm", "Software", "US", "http://qrithm.com/", "Qrithm develops novel quantum algorithms with applications to machine learning, materials science, cryptography and high frequency trading. There were founded in 2018 and based in Pasadena, California."
"Qrypt", "Communications", "US", "https://www.qrypt.com/", "Qrypt, headquartered in New York City, was officially formed at the beginning of 2018 but had been in the works for many years prior. With high-level leadership expertise from the intelligence community, their hardware and software engineers are developing a cryptographic solution based on high speed quantum random number generation powered by multiple entropy sources exclusively licensed from national laboratories like Oak Ridge National Lab and others. They combine quantum random key generation with their own information theoretic secure algorithm to implement post quantum secure cryptography for use by Fortune 500, critical infrastructure providers and any other entities that needs to keep information secure forever. Their technology stack will also include additional security protocol layers such as AES, the future NIST PQC selected algorithms and others. Qrypt is an investor in Barcelona-based Quside, which is focused on developing high quality and high speed quantum random number generators."
"QSimulate", "Software", "US", "https://qsimulate.com/", "QSimulate is a developer of tools intended for quantum molecular simulations in the cloud. The company offers a cloud-based time-to-solution simulation platform for chemical and pharmaceutical industries, enabling companies to accelerate their computational research and development.  They have collaborations with Amgen, the Google AI Quantum Lab, and the Amazon Quantum Solutions Lab.  The company has locations in Cambridge, Massachusetts and Pasadena, California and was founded in 2018. "
"Qu & Co", "Software", "Netherlands", "http://quandco.com/", "Based in Amsterdam, Netherlands, Qu & Co partners with corporate clients to identify high-value business problems for which quantum computing is expected to provide tractability or speed-up compared to classical computing. Together with their scientific advisors (academia from the leading quantum information processing groups) their consultants and quantum-developers help clients to map their business problems to appropriate quantum algorithms, test those algorithms on a simulator, benchmark their performance against the available classical solutions, and select the best suitable quantum hardware for running the algorithms and to implement the chosen solution on the chosen hardware. Qu & Co works with multiple hardware developers to offer their clients the best suitable platform for solving their specific business challenges."
"Quacoon", "Consulting", "US", "http://quacoon.com/", "Quacoon is a cross domain Quantum Computing  and  Artificial Intelligence innovator, working on industry relevant software solutions. Their mission is to accelerate adoption and execution of quantum computing and artificial intelligence in as many domains as possible.  They were founded in January 2020 and are located in Lewis Center, Ohio."
"Quandela", "Hardware", "France", "http://quandela.com/", "Founded in 2017 and based near Paris, France, Quandela develops and commercializes high performance, compact devices for quantum optics applications. The core technology consists of semiconductor based photonic qubit generators (state-of-the-art deterministic single-photon sources) implemented to scale-up optical quantum computing protocols with a large number of photons. Leveraging this technology Quandela is also developing NISQ computing platforms."
"Quantastica", "Software", "Estonia", "https://quantastica.com/", "Founded in February 2019 and located in Tallinn, Estonia and Subotica, Serbia, Quantastica provides software tools and solutions to help people utilize hybrid quantum-classical computing techniques. One of their key products is the Quantum Programming Studio, a web based graphical user interface for designing quantum algorithms and executing on simulators or real quantum computers.  The have also released software called Forest Backend for Qiskit that allow someone to run Qiskit programs on Rigetti simulators and quantum computers by changing only two lines of code."
"Quanterro Labs", "Software", "United Arab Emirates", "https://www.quanterro.com/", "Quanterro is an association of researchers and entrepreneurs working in the development of quantum information and security. They address the global market need to focus upon middleware and software development for emerging quantum hardware from providers such as D-Wave, Google, IBM and others. The company also provides hosting, academic and consulting services in multiple industries such as cybersecurity, defense, public sector technology, automotive, healthcare, manufacturing and education.  They were formed in January 2019 and based in Abu Dhabi, UAE."
"QuantFi", "Software", "France", "https://www.quantfi.com/", "QuantFi is a French-based start-up research firm formed in 2019 that specializes in creating quantum computer algorithms for the financial services industry. They are engaged in academic research in coordination with various public bodies and have a long term strategy to utilize quantum computer technology to perform financial portfolio management. Their employees have expertise in finance, portfolio asset management, valuation, research, investment analysis, mortgage-backed securities, quantum computing, computer science, mathematics and physics."
"QuantiCor Security", "Communications", "Germany", "https://quanticor-security.de/en/home/", "QuantiCor Security provides post-quantum cryptographic solutions for Internet-of-Things (IOT) and blockchain applications. They recently received an Accenture Innovation Award for their security solutions. QuantiCor is located in Darmstadt, Germany and key personnel came from TU Darmstadt. The company was founded in June 2017."
"Quantika", "Consulting", "Japan", "http://quantika.co/", "Quantika provides consulting services to navigate the emerging market of quantum technologies. Quantika has personnel based in the UK, France, and Japan and works with investors, start-ups, researchers, and corporate innovators with technology transfer and successful start-up creation."
"Quantopticon", "Software", "UK", "https://quantopticon.co.uk", "Quantopticon is an early-stage company that produces unique modelling software for designing and optimizing quantum components, the building blocks of emerging quantum technologies, such as quantum computers and quantum communication channels. They were founded in 2017 and are located in London, England."
"Quantropi", "Communications", "Canada", "https://quantropi.com/#/home", "Quantropi has developed a software-based encoding engine which leverages principles of quantum mechanics to protect data-in-transit. The solution is lightweight, low-latency, and quantum secure, and has been implemented into a key distribution demonstrator. The goal is to develop an alternative solution to photonic quantum key distribution that doesn’t require new hardware with a specific near-term focus on Internet of Things (IoT) applications.  Quantropi was founded in January 2018 and is located in Ottawa, Canada."
"Quantum Base", "Communications", "UK", "https://quantumbase.com/", "Quantum Base invents, designs, and develops mass producible quantum security solutions and devices at the nanoscale. These are based on quantum mechanics rather than mathematical complexity, so ensuring 100% secure digital information.  They provide optical and electronic PUF (Physically Unclonable Functions) devices which cannot be cloned, copied, or simulated which are used for security tags and quantum signature applications.  They also provide a nanoscale quantum random number generator (Q-RAND) that can be  integrated into existing and new microelectronic systems. The company was founded in 2014 and they are located in Lancaster, U.K."
"Quantum Benchmark Inc.", "Software", "Canada", "http://quantumbenchmark.com/", "Quantum Benchmark Inc. is headquartered in Waterloo, Ontario, Canada, and spun out of the Institute for Quantum Computing and the University of Waterloo in February 2017. They offer a range of products and services to serve both quantum computing users and vendors, across all quantum computing hardware architectures. Their flagship product is the True-Q software suite, an industry-standard tool for optimizing large-scale quantum hardware performance, which extends and validates the run-time capabilities for different user applications through the company’s world-leading error diagnostic and error mitigation technology."
"Quantum Brilliance", "Hardware", "Australia", "https://quantumbrilliance.com/", "Quantum Brilliance is developing a quantum computing platform based on atomic-scale defects in diamond (nitrogen-vacancy centers) that will run at room temperature.  They are a spinout of the diamond quantum program at Australian National University. Quantum Brilliance is based in Canberra, Australia and was founded in October 2019."
"Quantum Circuits, Inc.", "Hardware", "US", "http://quantumcircuits.com/", "Quantum Circuits, Inc. (QCI) was founded by three scientists from the Department of Applied Physics at Yale University with expertise in quantum devices and quantum information processing using solid state devices. QCI’s long-term goal is to develop, manufacture, and sell the first practical and useful quantum computers based on superconducting devices. QCI will also commercialize components, devices, and software that will accelerate basic research and enable the scaling of quantum computing. QCI was formed in late 2015 and is based in Connecticut."
"Quantum Computing & AI Research (QCAR)", "Consulting", "Taiwan", "http://www.quantum-research.com.tw/", "Located in Hsinchu, Taiwan and founded in November 2017, Quantum Computing & AI Research (QCAR) is the first quantum computation related research private company in Taiwan. Currently they are focusing on modeling new topological qubits and also  serve as a consultant for all potential startup companies, not only in Taiwan but around the globe. Their web site is presently in Chinese, but you can use Google Translate to translate it. An English version of the web site is under construction."
"Quantum Dice", "Communications", "UK", "https://www.linkedin.com/company/quantum-dice/", "Quantum Dice is a technology spin-out from the University of Oxford, commercializing a self-certifying random number generator (QRNG) device which generates unbiased, true random numbers. The QRNG will be an integrated on-chip device which generates cryptographically secure random numbers allowing for use in a range of commercial applications.  They were founded in July 2019 and headquartered in Oxford, England."
"Quantum Factory", "Hardware", "Germany", "https://quantum-factory.de/", "Quantum Factory GmbH is a startup founded in 2018 in Munich, Germany to build ion-trap based quantum computers and sell computational power as a service. Quantum Factory’s unique advantage is a proprietary ion trap drive that simplifies the joining of ion trap modules and the establishment of junctions in an ion trap. Quantum Factory plans to build quantum computers modularized to the extreme and readily scale them to large numbers of physical qubits while providing high quantum gate fidelity."
"Quantum Impenetrable", "Communications", "UK", "http://quantumimpenetrable.com/", "Formed in April 2018 and based in Scotland, Quantum Impenetrable has developed a cryptographic hardware security module (HSM) inspired by genetics and quantum physics and combined with a quantum / true random number generator that provides encryption that the company says is unbreakable by either classical or quantum computers."
"Quantum Machines", "Multiple", "Israel", "https://www.quantum-machines.co/", "Founded in March 2018 in Tel Aviv, Israel, by three physicists from the Weizmann Institute of Science, Quantum Machines is developing operation and control systems for quantum computers – hardware and software that allow to realize the potential of quantum computing. Their technology is based upon integration of a wide range of fields, including digital signal processing, algorithms, FPGA, chip design, RF/microwave engineering, programming, optimization, machine learning and quantum physics."
"Quantum Microwave", "Hardware", "US", "https://quantummicrowave.com/", "Quantum Microwave develops and manufactures cryogenic microwave components for quantum computers. Their products include cryogenic bias tees, cryo diplexers, cryo filters, cryo attenuators, cryo terminations, cryo image reject mixers, and cryo directional couplers. Quantum Microwave is based in Cohasset, Masachusetts and was formed in 2016."
"Quantum Motion Technologies", "Hardware", "UK", "http://quantummotion.tech/", "Quantum Motion Technologies was founded on the research undertaken by Professor Simon Benjamin (Department of Materials, Oxford) and Professor John Morton (Department of Engineering Science, Oxford). The company was formed in June 2017 and located in Oxford and London, United Kingdom. The company aims to develop quantum computer architectures based on silicon technology, leveraging CMOS processing to achieve high-density qubits which can scale up to large numbers and tackle practical quantum computing problems. They received seed funding from the Parkwalk Opportunities Fund in November 2017."
"Quantum Phi", "Consulting", "Czech Republic", "https://quantumphi.com/index.php", "Quantum Phi is a consulting, analytical and research company in Prague, the Czech Republic, that focusses on quantum technologies, knowledge of their principles, usage and the quantum technologies industry itself. In addition to civilian applications of quantum technologies, they specialize in the use of quantum technologies for the space, security and military industries."
"Quantum-South", "Software", "Uruguay", "http://www.quantum-south.com/", "Quantum-South works with complex, optimization problems for cargo by leveraging quantum computing software.  Their goal is to achieve better results than current conventional solutions and help companies to improve revenues and reduce costs. They also work in financial problems where a quantum advantage can provide better solutions. The company is based in Montevideo, Uruguay and was founded in November, 2019."
"Quantum Thought", "Communications", "US", "http://www.quantumthought.io/", "Founded in 2019 and located in Tiburon, California, Quantum Thought is a strategic consulting firm focused on quantum computing for the enterprise. Their team includes quantum computing experts combined with AI and cybersecurity leaders in order to help companies ready themselves for a quantum computing future."
"Quantum Xchange", "Communications", "US", "https://quantumxc.com/", "Quantum Xchange is offering the first commercial quantum-secured networks in the United States utilizing QKD (Quantum Key Distribution) technology with a service they call Phio. They are partnering with communications infrastructure Zayo Group to use dark fiber that Zayo has available, ID Quantique for quantum key distribution (QKD) hardware and the research institute Battelle for trusted node hardware. Quantum Xchange recently announced their first installation which connects the Wall Street area of New York City with the back office operations of various financial firms in New Jersey. Quantum Xchange was founded in 2016 and is based in Bethesda, Maryland."
"QuantumCTek", "Communications", "China", "http://www.quantum-info.com/English/", "Located in Heifei City, China, QuantumCTek is the first provide in China of multi-protocol network security products and services based upon quantum technology. The company produces state-of-the-art quantum communication systems and opto-electronic units with the commercial applications for the financial industry, government organizations and other enterprises, as well as the research applications for the scientific societies. Products that they offer include quantum encryption, quantum gateways and optical switch products. The company was founded by the Chinese leading quantum physics research group from Hefei National Laboratory for Physical Science at Micro-scale (HFNL) and University of Science and Technology of China (USTC)."
"QuantumDoor", "Communications", "China", "http://www.qudoor.cn/en-us/", "None"
"QuantumX", "Other", "UK", "https://www.quantumx.ventures/", "QuantumX is a incubator/ venture studio with locations in Cambridge, England and San Francisco. Their aim is to create the most intense and advanced venture creation incubator for quantum scientists and engineers. QuantumX has a partnership with Cambridge Quantum Computing (CQC) that provides access the CQC’s quantum compiler."
"Quantumz.io", "Software", "Poland", "http://quantumz.io/", "Based in Warsaw, Poland and founded in June of 2019, Quantumz.io is developing a very efficient Quantum Simulator Platform (QSP) based on the idea of parallel programming on GPUs which will be offered as a service. The QSP will be equipped with functionality to efficiently build, run and manage customer’s quantum algorithms. They are also developing post-quantum cryptography (PQC) software solutions named “banax” to support quantum resistant internet communication for commercial usage. In addition, they are also building hardware products capable of post-quantum encrypted communication."
"QuBalt GmbH", "Communications", "Germany", "https://www.qubalt.de/", "Founded in 2015, GuBalt has administrative headquarters in Hamburg/Neumünster, Germany and research headquarters in Riga, Latvia. They develop quantum resistant cryptography algorithms and are also working on quantum computing software algorithms."
"Qubitekk", "Communications", "US", "http://qubitekk.com/", "Qubitekk, founded in 2012 in San Diego, California, recently announced the availability of the world’s first plug-and-play entangled photon generator, the QES1. Like the transistors at the hearts of classical computers, the QES1 enables the flow of information through quantum computers and quantum encryption products – both of which the company is currently developing."
"Qubit Engineering", "Software", "US", "http://qubitengineering.com/", "Qubit Engineering is a quantum software computing company that has developed new optimization methods for micro-siting wind turbines. The quantum powered micro-siting software will considerably improve the efficiency of wind farms and reduce the overall cost of the projects. They are located in Knoxville, Tennessee and were founded in August of 2018."
"Qubit Reset LLC", "Communications", "US", "https://www.qubitreset.com/", "Qubit Reset was formed in October 2018 and is based in Aventura, Florida. Their main research area is quantum repeaters for the quantum internet, but they are also working in other product areas including classical-to-quantum interfaces and quantum key distribution (QKD)."
"Qubitor", "Other", "Singapore", "http://www.qubitor.com/", "Qubitor is a technology incubation company to build intellectual property and launch startups. Their quantum computation lab is developing quantum based applications especially in Machine Learning and AI. The company was founded in 2017 and based in Singapore."
"QuDot", "Software", "US", "http://www.qudotinc.com/", "Founded in May 2018 and located in Fremont, California, QuDot provides quantum circuit simulation software using their patent pending QuDot Net technology to simulate universal quantum computers on commodity hardware. QuDot Net uses a special type of Bayesian Network that allows for the efficient representation of some qubit systems."
"QuEra Computing", "Hardware", "US", "https://www.quera-computing.com/", "QuEra Computing is using a neutral atom technology platform to build a  scalable, powerful, commercially relevant quantum computing capability. The research team includes many members from the cold atom research groups at Harvard University. They were founded in 2018 and are located in Somerville, Massachusetts."
"Quintessence Labs", "Communications", "Australia", "http://www.quintessencelabs.com/", "Based in Deakin, Australia, Quintessence Labs provides quantum true random number generators and quantum key distribution. They currently have in development what they call a second generation quantum key distribution system. This uses a continuous variable bright laser beam for key distribution that can leverage commercial off-the-shelf telecommunications components and existing fiber optic cable to provide very high data throughput rates and a very cost competitive solution."
"QuiX", "Hardware", "Netherlands", "https://www.laserfocusworld.com/articles/2019/01/new-dutch-silicon-nitride-photonics-company-quix-aims-at-quantum-computing.html", "Formed in January 2019 and located in Enschede, The Netherlands, QuiX is developing a photonic quantum processor based upon silicon nitride waveguides. The founding team includes scientists from the University of Twente and the Amsterdam research institute AMOLF. QuiX intends to offer the first components of their computer in two years and their technology will operate at room temperatures eliminating the need for costly dilution refrigerators."
"Qulab", "Software", "US", "http://www.qulab.com/", "Founded in 2017 and based in Los Angeles, California, Qulab Inc. has a mission of automating molecular drug design by leveraging the power of classical and quantum computers."
"Qulabs,ai", "Multiple", "India", "http://qulabs.ai/index.html", "Qulabs.ai, founded in late 2017, is focused on building quantum networks/quantum internet and developing expertise in quantum machine learning for finance and new drug discovery verticals. They have created a business unit QuAcademy which aims to facilitate training of students with the combination of skills required for the conceptualization, development and translation of new quantum technologies.  They currently work with research labs at IIT Hyderabad, IIT Roorkee, and IIT Bengaluru."
"QunaSys", "Software", "Japan", "https://en.qunasys.com/", "QunaSys, located in Tokyo, Japan, was founded in early 2018 by researchers from the University of Tokyo, Osaka University, and Kyoto University. They develop applications using quantum computing with a focus on quantum chemistry, quantum machine learning and optimization. They are also conducting maintainence and developing new functions for the Qulacs simulator which was originally developed at Kyoto University."
"Qunnect", "Communications", "US", "http://www.quconn.com/", "Qunnect was formed in 2017 as a spin-off venture from the Quantum Information Technology group at Stony Brook University (Long Island, NY, USA). They provide a commercial toolbox of quantum devices specifically designed and optimized to upgrade the current digital communication technology into an un-hackable fully secure long-distance quantum communication network. They have developed several portable modular technologies needed to build a fully protected quantum cryptographic network including quantum light sources, characterization devices and quantum light matter interfaces aimed to store and transform quantum information (e.g. quantum memories, quantum logic gates and quantum frequency conversion units). These technologies are room temperature quantum devices which together can efficiently map the quantum state of flying quantum bits onto atomic media, thus creating a pathway to overcome the inherent losses in classical communication channels."
"QuNu Labs", "Communications", "India", "http://qunulabs.in/", "Founded in September 2016 and located in Bangalore, India, QuNu Labs develops Quantum cyber-security products using Quantum Key Distribution (QKD) Technology. Their first product is a basic QKD system using Differential Phase Shift Protocol and builds upon four years of initial research followed by incubation at IIT Madras. The company indicates that their systems are optimized for Indian operating conditions and highly cost competitive."
"QURECA", "Consulting", "UK", "https://qureca.com/", "QURECA, QUantum REsources & CAreers, was formed in June 2019 and is based in Glasgow, Scotland, UK. They provide professional services and resources needed for businesses and institutions to be ready, make a difference, and create value with quantum technology. Services they offer include business development, business intelligence, training, and resourcing."
"QuSecure", "Communications", "US", "https://www.qusecure.com/", "Located in Menlo Park, California and founded in 2019, QuSecure’s products and services include a quantum resilient blockchain, quantum penetration testing and a quantum enabled policy server. The QuSecure team consists of researchers who share decades of experience in Cybersecurity, Quantum Computing, Machine Learning and Blockchain technologies, combined with seasoned Silicon Valley business leaders who know how to build, scale, protect and innovate."
"Quside", "Hardware", "Spain", "https://www.quside.com/", "Quside designs and markets quantum technologies to power all connected devices with the highest quality components. Their proprietary quantum entropy sources enables ultrafast, quantum random number generation for mobile, IoT and data center environments. They are located in Barcelona, Spain and were formed in September 2017 as a spinoff of ICFO."
"QxBranch", "Software", "US", "http://www.qxbranch.com/", "QxBranch is a quantum software company formed in 2014 by executives from Lockheed Martin and Aerospace Concepts. The company’s team has skills in systems engineering, data analytics, machine learning, and quantum computing for finance, insurance, aerospace, and security customers worldwide. QxBranch is headquartered in Washington, D.C., with offices in Hong Kong, London, and Adelaide, Australia. QxBranch was acquired by Rigetti Computing in July 2019."
"Rahko", "Software", "UK", "https://www.rahko.ai/", "Rahko is a quantum machine learning company with experts in quantum machine learning and quantum software engineering. They were founded in June 2018 and are located in London, UK."
"Rigetti Computing", "Hardware", "US", "http://rigetti.com/", "Rigetti Computing was founded in 2013 and is based in Berkeley, California with a fab facility in Fremont, California. They are a full-stack quantum computing company that provides an integrated computing environment. Their Quantum Cloud Services (QCS) is our quantum-first integrated cloud platform that gives users access to our real quantum hardware through a virtual programming environment. Rigetti acquired QxBranch in July 2019 to help provide tight vertical integration at the application layer which they believe to be particularly important in the NISQ era."
"Riverlane", "Software", "UK", "https://riverlane.io/", "Incorporated in 2016 and located in Cambridge, UK, Riverlane is a quantum computing software company spun out of the University of Cambridge. Riverlane provides consulting services to clients in industry and government, as well as developing new quantum algorithms that solve high-value problems in machine learning and quantum chemistry. In collaboration with dividiti Ltd, Riverlane is developing Quantum Collective Knowledge, a software development kit that enables fair and reproducible benchmarking, optimization and co-design of quantum software and hardware, while dramatically reducing time to market and R&D costs."
"Seeqc", "Hardware", "US", "http://seeqc.com/", "In 2017, Seeqc was spun-out of Hypres, a leading developer of superconductor electronics. Seeqc owns, upgrades, and operates a state-of-the-art multi-layer superconductive chip fabrication facility and provide foundry services for superconducting devices. They are also developing a new approach to making quantum computing useful, via fully Digital Quantum Computing. The solution combines classical and quantum computing to form an all-digital architecture through a system-on-a-chip design that utilizes 10-40 GHz superconductive classical co-processing to address the efficiency, stability and cost issues endemic to quantum computing systems.  The company is headquartered in Elmsford, New York, with additional facilities in Italy and the U.K."
"Semicyber", "Software", "US", "https://semicyber.com/", "Based in McLean, Virginia and founded in February of 2018, Semicyber specializes in the delivery of data analytics, quantum algorithms, and software services for mission-critical challenges. They announced that they are working with the US Air Force AFWERX on the next generation of quantum algorithms."
"SHYN", "Software", "Bulgaria", "http://www.shyn.org/", "Founded in 2016, SHYN is a Sofia, Bulgaria-based company working on quantum data visualization. With early financing from Google and support from Amazon they aim to use quantum algorithms to visualize variance (inaccuracy) in data: from stock prices to weather forecasts. The company believes a layer of context, powered by quantum architecture, can help data consumers form better decisions."
"Sigma-i", "Consulting", "Japan", "https://sigmailab.com/", "Sigma-i is an “academic tech company” established in 2019 by three researchers from the Tohoku University Quantum Annealing Research & Development group in Sendai, Japan. Its mission is to tangibly deliver brand new technologies after they have been developed within universities and/or research laboratories. Their mission is to tangibly deliver brand new technologies after they have been developed within universities and/or research laboratories. Their initial offering will be to provide quantum consulting services and access to the D-Wave’s family of systems to companies, universities and research laboratories throughout Japan."
"Single Quantum", "Hardware", "Netherlands", "https://singlequantum.com/", "Single Quantum was founded in January 2012 in Delft, the Netherlands as a spin-off from the Kavli Institute of Nanoscience at TU Delft. Single Quantum develops and manufactures single photon detection systems based on the technology of superconducting nanowires. The products are designed for applications in quantum information technology, quantum communication and quantum cryptography, infrared time-resolved spectroscopy, laser ranging and remote sensing (LiDAR)."
"Silicon Quantum Computing", "Hardware", "Australia", "http://sqc.com.au/", "Silicon Quantum Computing is a spinout from the University of New South Wales (UNSW) to advance the development and commercialize the technology from the university’s Centre of Excellence for Quantum Computation and Communication Technology (CQC2T). This company will be leveraging the silicon based qubit technology that CQC2T has been working on. The new company will be receiving $83 million AUS (about $66 million USD) in funding from Telestra, UNSW, Commonwealth Bank of Australia, Australian Federal Government, and the state of New South Wales. Their near term goals are to develop a 10-qubit quantum integrated circuit prototype in silicon by 2022 as the forerunner to a silicon-based quantum computer and to expand their patent pool."
"softwareQ", "Software", "Canada", "http://www.softwareq.ca/", "SoftwareQ provides a variety of quantum software and services including quantum simulators, quantum compilers and optimizers, educational software and consultancy services. The co-founders include Dr. Michele Mosca and Dr. Vlad Gheorghiu from the Institute of Quantum Computing (IQC). The company is based in Waterloo, Canada and it was formed in 2017."
"Solid State AI", "Software", "Canada", "https://www.solidstate.ai/", "Founded in October 2017 and located in Toronto, Canada, Solid State AI is building a software-as-a-service (SaaS) platform using hybrid quantum-classical machine learning algorithms that enable process and equipment engineers to increase manufacturing yields, optimize process parameters, and reduce equipment maintenance costs and downtime. These algorithms are particularly effective at predicting on sparse data sets – those with limited data, or those with lots of noise and only a few relevant signals. Solid State AI is another alumni of Toronto’s Creative Destruction Lab’s Quantum Machine Learning program."
"Sparrow Quantum", "Hardware", "Denmark", "http://sparrowquantum.com/", "Sparrow Quantum is a start-up formed in May 2016 as a spin-off from the Niels Bohr Institute’s Quantum Photonics Lab in Copenhagen, Denmark. They will be developing and commercializing photonic quantum technology components based on research and patents from the Institute. Their first product is a single photon chip that is being offered to researchers working on quantum photonics."
